epoch,train_loss,val_loss,val_acc,val_f1
0,0.5512556115695408,0.6707723453640938,0.7140625,0.74270351824417
1,0.3748723311696734,0.5441183641552925,0.765625,0.7817527482860611
2,0.30438707030500683,0.48617430925369265,0.796875,0.8198693433871276
3,0.2540280970164708,0.5115997217595577,0.7984375,0.8355783780803446
4,0.21562091117586407,0.3682171754539013,0.8421875,0.8777157430383237
5,0.21030850160121917,0.3877992879599333,0.85,0.8865403025984092
6,0.17996665286677224,0.37087286338210107,0.859375,0.8958902313055438
7,0.1640241246836526,0.3718893252313137,0.8453125,0.8794397443128408
8,0.14947696180769376,0.32712588980793955,0.8890625,0.914155607545051
9,0.14056188896468708,0.3488493964076042,0.8703125,0.9005091205091205
10,0.0883534854880401,0.19730659034103154,0.9265625,0.943935821873953
11,0.050567339905883586,0.16036525550298392,0.9453125,0.9588621956456351
12,0.03429761139250227,0.13448554798960685,0.946875,0.9607447903854591
13,0.02648379303365946,0.12503371122293175,0.9515625,0.9620999356785639
14,0.01959523113295436,0.11161855421960354,0.9546875,0.9647284017489365
15,0.01854525260071137,0.08253863346762955,0.975,0.9822021691715779
16,0.013631249901918429,0.09361043095123023,0.965625,0.9756277186210491
17,0.014326093607103185,0.11173434997908771,0.9640625,0.9729717393030087
18,0.013164078624719487,0.11065479535609483,0.9640625,0.9745710859296606
19,0.010843994546801385,0.07810425629140809,0.978125,0.9847811099221625
20,0.009422900841421713,0.08646790268830955,0.9734375,0.9802851268186394
21,0.009158646500895599,0.08110368612688035,0.971875,0.9801468523262908
22,0.006488400246212924,0.06365381448995322,0.984375,0.9905501744048695
23,0.008639315585486059,0.09869326982880011,0.96875,0.9782716967701017
24,0.0068332743312997215,0.11508880044566468,0.971875,0.982227980410101
