epoch,train_loss,val_loss,val_acc,val_f1
0,0.7574060490471977,0.9407474756240845,0.5265625,0.5395100794994745
1,0.5695164424215045,0.9297260642051697,0.565625,0.5736103088624196
2,0.4331831063645227,0.7798894837498664,0.65625,0.6689631975907587
3,0.34372162806647166,0.6856842711567879,0.7359375,0.7782125467343604
4,0.27877138784612926,0.622368010878563,0.74375,0.758503525561561
5,0.22375433232103076,0.623955799639225,0.759375,0.8017958641432559
6,0.1878847908088139,0.6029540978372097,0.7546875,0.7939613055562327
7,0.15368568657466344,0.7086912706494332,0.759375,0.7914816766813624
8,0.1424643038894449,0.5286503553390502,0.7703125,0.818729164861118
9,0.12366697376114981,0.6957946017384529,0.778125,0.8180843305863341
10,0.09148444253525563,0.2758501447737217,0.8921875,0.9177273994858087
11,0.04073850620160145,0.1974857583642006,0.9171875,0.915597822005666
12,0.023096292301054512,0.12412244286388159,0.9515625,0.9622671443140198
13,0.018133210716303437,0.1626827187370509,0.9484375,0.9564100995241195
14,0.01567728259918679,0.12093716459348798,0.95625,0.9698129134271471
15,0.011904675972741098,0.11524586735758931,0.95625,0.946308460471806
16,0.010851685810651232,0.09019481181167066,0.96875,0.9745522570563041
17,0.008804416406024912,0.09333442281931639,0.959375,0.9678627256678879
18,0.008623817291812571,0.06806236563716084,0.965625,0.9744678083629135
19,0.008908686395238952,0.09953884877613746,0.9703125,0.9743773674217122
20,0.006076077691282678,0.05175013403058983,0.9859375,0.990447339957598
21,0.0064462437462943075,0.06845345911569893,0.9796875,0.983973203609405
22,0.004384715263499778,0.11934990709705744,0.965625,0.9728500626007657
23,0.006491865225612751,0.07500925060594454,0.9765625,0.9820866413095606
24,0.004342112373994314,0.03696429465780966,0.990625,0.9933143887110262
25,0.004446639285745498,0.061091976963507474,0.98125,0.9849202169163546
26,0.004235863031648166,0.10772273980110185,0.965625,0.9546415975501106
27,0.003991407381711386,0.08900418626435566,0.971875,0.9610935175138922
28,0.003389313175867262,0.06252907414382207,0.9765625,0.9829386171507609
29,0.002940077975413338,0.05186791394662578,0.9828125,0.9859621765444229
